Signal data for event #13266
<Z>	<X>	<TIMESTEP>	<PHOTONS>
0	9	9	15.0
1	5	9	3.0
1	6	9	20.0
1	7	9	75.0
1	8	9	333.0
1	9	9	1271.0
2	6	9	88.0
2	7	9	372.0
2	8	9	1530.0
2	9	9	5691.0
3	7	9	62.0
3	8	9	350.0
3	9	9	1343.0
4	7	9	47.0
4	8	9	676.0
4	9	9	2920.0
5	9	9	557.0
6	9	9	48.0
0	5	10	1.0
0	6	10	3.0
0	7	10	6.0
0	8	10	15.0
0	9	10	11.0
1	3	10	1.0
1	4	10	8.0
1	5	10	31.0
1	6	10	54.0
1	7	10	76.0
1	8	10	115.0
1	9	10	157.0
2	2	10	1.0
2	3	10	10.0
2	4	10	38.0
2	5	10	74.0
2	6	10	71.0
2	7	10	38.0
2	8	10	40.0
2	9	10	42.0
3	3	10	1.0
3	4	10	12.0
3	5	10	50.0
3	6	10	103.0
3	7	10	132.0
3	8	10	168.0
3	9	10	223.0
4	3	10	2.0
4	4	10	10.0
4	5	10	31.0
4	6	10	79.0
4	7	10	157.0
4	8	10	127.0
4	9	10	59.0
5	2	10	5.0
5	3	10	12.0
5	4	10	32.0
5	5	10	69.0
5	6	10	78.0
5	7	10	139.0
5	8	10	467.0
5	9	10	1079.0
6	1	10	1.0
6	2	10	3.0
6	3	10	18.0
6	4	10	82.0
6	5	10	296.0
6	6	10	83.0
6	7	10	30.0
6	8	10	37.0
6	9	10	42.0
7	4	10	2.0
7	5	10	2.0
7	6	10	2.0
8	7	10	127.0
8	8	10	723.0
8	9	10	2777.0
9	7	10	22.0
9	8	10	6143.0
9	9	10	28406.0
0	3	11	1.0
0	4	11	3.0
0	5	11	4.0
0	6	11	4.0
0	7	11	4.0
0	8	11	4.0
0	9	11	4.0
1	0	11	1.0
1	1	11	3.0
1	2	11	4.0
1	3	11	3.0
1	4	11	1.0
2	0	11	4.0
2	1	11	4.0
2	2	11	3.0
2	3	11	1.0
3	0	11	1.0
3	1	11	3.0
3	2	11	4.0
3	3	11	3.0
3	4	11	3.0
3	5	11	1.0
4	1	11	2.0
4	2	11	2.0
4	3	11	3.0
4	4	11	9.0
4	5	11	12.0
4	6	11	13.0
4	7	11	8.0
4	8	11	6.0
4	9	11	6.0
5	0	11	2.0
5	1	11	3.0
5	2	11	1.0
5	3	11	4.0
5	4	11	7.0
5	5	11	3.0
5	7	11	1.0
5	8	11	1.0
5	9	11	5.0
6	0	11	1.0
6	1	11	2.0
6	2	11	2.0
6	3	11	2.0
6	4	11	6.0
6	5	11	8.0
6	6	11	9.0
6	7	11	4.0
6	8	11	2.0
6	9	11	3.0
7	1	11	1.0
7	2	11	1.0
7	3	11	1.0
7	5	11	9.0
7	6	11	22.0
7	7	11	35.0
7	8	11	54.0
7	9	11	71.0
8	3	11	7.0
8	4	11	16.0
8	5	11	35.0
8	6	11	204.0
8	7	11	383.0
8	8	11	523.0
8	9	11	688.0
9	0	11	5.0
9	1	11	18.0
9	2	11	83.0
9	3	11	313.0
9	4	11	193.0
9	5	11	336.0
9	6	11	807.0
9	7	11	2105.0
9	8	11	1850.0
9	9	11	768.0
6	3	12	1.0
6	4	12	14.0
6	5	12	21.0
6	6	12	31.0
6	7	12	36.0
6	8	12	32.0
6	9	12	32.0
7	0	12	1.0
7	1	12	3.0
7	2	12	5.0
7	3	12	8.0
7	4	12	28.0
7	5	12	46.0
7	6	12	52.0
7	7	12	58.0
7	8	12	61.0
7	9	12	63.0
8	0	12	5.0
8	1	12	22.0
8	2	12	54.0
8	3	12	73.0
8	4	12	116.0
8	5	12	179.0
8	6	12	138.0
8	7	12	76.0
8	8	12	89.0
8	9	12	93.0
9	0	12	20.0
9	1	12	63.0
9	2	12	114.0
9	3	12	172.0
9	4	12	185.0
9	5	12	179.0
9	6	12	136.0
9	7	12	72.0
9	8	12	73.0
9	9	12	78.0
1	5	13	1.0
1	6	13	2.0
1	7	13	2.0
1	8	13	2.0
1	9	13	2.0
2	3	13	1.0
2	4	13	2.0
2	5	13	2.0
2	6	13	5.0
2	7	13	8.0
2	8	13	9.0
2	9	13	9.0
3	5	13	1.0
3	6	13	2.0
3	7	13	2.0
3	8	13	2.0
3	9	13	2.0
4	5	13	1.0
4	6	13	1.0
4	7	13	1.0
4	8	13	1.0
4	9	13	1.0
5	0	13	1.0
5	1	13	1.0
5	2	13	3.0
5	3	13	4.0
5	4	13	6.0
5	5	13	8.0
5	6	13	10.0
5	7	13	12.0
5	8	13	12.0
5	9	13	11.0
6	0	13	5.0
6	1	13	5.0
6	2	13	6.0
6	3	13	11.0
6	4	13	8.0
6	5	13	12.0
6	6	13	16.0
6	7	13	20.0
6	8	13	22.0
6	9	13	19.0
7	0	13	24.0
7	1	13	23.0
7	2	13	26.0
7	3	13	33.0
7	4	13	31.0
7	5	13	38.0
7	6	13	45.0
7	7	13	47.0
7	8	13	34.0
7	9	13	35.0
8	0	13	65.0
8	1	13	54.0
8	2	13	37.0
8	3	13	40.0
8	4	13	29.0
8	5	13	16.0
8	6	13	11.0
8	7	13	11.0
8	8	13	11.0
8	9	13	12.0
9	0	13	93.0
9	1	13	60.0
9	2	13	36.0
9	3	13	23.0
9	4	13	13.0
9	5	13	5.0
0	0	14	4.0
0	1	14	4.0
0	2	14	4.0
0	3	14	5.0
0	4	14	6.0
0	5	14	6.0
0	6	14	6.0
0	7	14	6.0
0	8	14	6.0
0	9	14	6.0
1	0	14	7.0
1	1	14	6.0
1	2	14	6.0
1	3	14	5.0
1	4	14	4.0
1	5	14	5.0
1	6	14	5.0
1	7	14	6.0
1	8	14	6.0
1	9	14	6.0
2	0	14	8.0
2	1	14	7.0
2	2	14	6.0
2	3	14	5.0
2	4	14	4.0
2	5	14	6.0
2	6	14	4.0
2	7	14	1.0
2	8	14	2.0
2	9	14	2.0
3	0	14	7.0
3	1	14	6.0
3	2	14	7.0
3	3	14	7.0
3	4	14	6.0
3	5	14	7.0
3	6	14	7.0
3	7	14	8.0
3	8	14	8.0
3	9	14	8.0
4	0	14	4.0
4	1	14	5.0
4	2	14	7.0
4	3	14	7.0
4	4	14	7.0
4	5	14	7.0
4	6	14	7.0
4	7	14	10.0
4	8	14	10.0
4	9	14	11.0
5	0	14	1.0
5	1	14	1.0
5	2	14	20.0
5	3	14	30.0
5	4	14	35.0
5	5	14	42.0
5	6	14	47.0
5	7	14	40.0
5	8	14	33.0
5	9	14	45.0
6	0	14	19.0
6	1	14	32.0
6	2	14	43.0
6	3	14	55.0
6	4	14	74.0
6	5	14	93.0
6	6	14	104.0
6	7	14	104.0
6	8	14	92.0
6	9	14	75.0
7	0	14	10.0
7	1	14	12.0
7	2	14	31.0
7	3	14	36.0
7	4	14	43.0
7	5	14	39.0
7	6	14	44.0
7	7	14	36.0
7	8	14	40.0
7	9	14	47.0
