Signal data for event #4698 with energy 103.71947430312626
<z>	<x>	<t>	<nph>
0	0	9	483.0
0	1	9	477.0
0	2	9	466.0
0	3	9	412.0
0	4	9	324.0
0	5	9	272.0
0	6	9	255.0
0	7	9	232.0
0	8	9	249.0
0	9	9	310.0
1	0	9	269.0
1	1	9	268.0
1	2	9	261.0
1	3	9	219.0
1	4	9	177.0
1	5	9	170.0
1	6	9	160.0
1	7	9	113.0
1	8	9	100.0
1	9	9	128.0
2	0	9	65.0
2	1	9	66.0
2	2	9	64.0
2	3	9	64.0
2	4	9	62.0
2	5	9	59.0
2	6	9	54.0
2	7	9	9.0
2	8	9	9.0
2	9	9	5.0
3	0	9	22.0
3	1	9	20.0
3	2	9	16.0
3	3	9	15.0
3	4	9	15.0
3	5	9	13.0
3	6	9	11.0
3	7	9	8.0
3	8	9	4.0
3	9	9	3.0
4	0	9	8.0
4	1	9	8.0
4	2	9	8.0
4	3	9	9.0
4	4	9	8.0
4	5	9	3.0
4	6	9	1.0
0	0	10	5.0
0	1	10	5.0
0	2	10	21.0
0	3	10	90.0
0	4	10	182.0
0	5	10	216.0
0	6	10	215.0
0	7	10	216.0
0	8	10	179.0
0	9	10	102.0
1	0	10	106.0
1	1	10	105.0
1	2	10	103.0
1	3	10	149.0
1	4	10	194.0
1	5	10	201.0
1	6	10	214.0
1	7	10	229.0
1	8	10	215.0
1	9	10	165.0
2	0	10	190.0
2	1	10	185.0
2	2	10	180.0
2	3	10	160.0
2	4	10	136.0
2	5	10	143.0
2	6	10	157.0
2	7	10	180.0
2	8	10	157.0
2	9	10	172.0
3	0	10	95.0
3	1	10	96.0
3	2	10	96.0
3	3	10	78.0
3	4	10	59.0
3	5	10	55.0
3	6	10	55.0
3	7	10	53.0
3	8	10	52.0
3	9	10	66.0
4	0	10	24.0
4	1	10	24.0
4	2	10	23.0
4	3	10	22.0
4	4	10	21.0
4	5	10	21.0
4	6	10	16.0
4	7	10	18.0
4	8	10	14.0
4	9	10	17.0
5	0	10	109.0
5	1	10	112.0
5	2	10	93.0
5	3	10	90.0
5	4	10	69.0
5	5	10	58.0
5	6	10	52.0
5	7	10	32.0
5	8	10	27.0
5	9	10	10.0
6	0	10	249.0
6	1	10	251.0
6	2	10	249.0
6	3	10	169.0
6	4	10	159.0
6	5	10	132.0
6	6	10	110.0
6	7	10	45.0
6	8	10	23.0
6	9	10	21.0
7	0	10	481.0
7	1	10	429.0
7	2	10	380.0
7	3	10	367.0
7	4	10	285.0
7	5	10	237.0
7	6	10	174.0
7	7	10	87.0
7	8	10	70.0
7	9	10	1.0
8	0	10	390.0
8	1	10	342.0
8	2	10	345.0
8	3	10	246.0
8	4	10	238.0
8	5	10	200.0
8	6	10	152.0
8	7	10	85.0
9	0	10	129.0
9	1	10	215.0
9	2	10	361.0
9	3	10	358.0
9	4	10	318.0
9	5	10	193.0
9	6	10	38.0
9	7	10	29.0
9	8	10	15.0
9	9	10	7.0
0	0	11	87.0
0	1	11	80.0
0	2	11	46.0
0	3	11	18.0
0	4	11	2.0
0	5	11	27.0
0	6	11	39.0
0	7	11	46.0
0	8	11	52.0
0	9	11	61.0
1	0	11	69.0
1	1	11	54.0
1	2	11	52.0
1	3	11	43.0
1	4	11	30.0
1	5	11	25.0
1	6	11	28.0
1	7	11	57.0
1	8	11	75.0
1	9	11	95.0
2	0	11	26.0
2	1	11	21.0
2	2	11	33.0
2	3	11	60.0
2	4	11	79.0
2	5	11	67.0
2	6	11	58.0
2	7	11	84.0
2	8	11	100.0
2	9	11	90.0
3	0	11	68.0
3	1	11	68.0
3	2	11	77.0
3	3	11	96.0
3	4	11	108.0
3	5	11	100.0
3	6	11	98.0
3	7	11	99.0
3	8	11	95.0
3	9	11	86.0
4	0	11	96.0
4	1	11	118.0
4	2	11	114.0
4	3	11	110.0
4	4	11	84.0
4	5	11	83.0
4	6	11	80.0
4	7	11	75.0
4	8	11	78.0
4	9	11	75.0
5	0	11	147.0
5	1	11	145.0
5	2	11	155.0
5	3	11	146.0
5	4	11	150.0
5	5	11	126.0
5	6	11	124.0
5	7	11	111.0
5	8	11	126.0
5	9	11	132.0
6	0	11	268.0
