Signal data for event #10827 with energy 999.1025453310803
<z>	<x>	<t>	<nph>
0	0	8	264.0
0	1	8	349.0
0	2	8	436.0
0	3	8	528.0
0	4	8	604.0
0	5	8	644.0
0	6	8	672.0
0	7	8	657.0
0	8	8	640.0
0	9	8	636.0
1	0	8	200.0
1	1	8	259.0
1	2	8	336.0
1	3	8	557.0
1	4	8	627.0
1	5	8	657.0
1	6	8	638.0
1	7	8	608.0
1	8	8	402.0
1	9	8	508.0
2	0	8	3.0
2	1	8	283.0
2	2	8	351.0
2	3	8	420.0
2	4	8	474.0
2	5	8	496.0
2	6	8	477.0
2	7	8	426.0
2	8	8	366.0
2	9	8	303.0
3	1	8	3.0
3	2	8	210.0
3	3	8	409.0
3	4	8	459.0
3	5	8	479.0
3	6	8	460.0
3	7	8	411.0
3	8	8	215.0
3	9	8	19.0
4	3	8	36.0
4	4	8	41.0
4	5	8	42.0
4	6	8	41.0
4	7	8	36.0
9	7	8	50.0
9	8	8	656.0
9	9	8	4665.0
0	0	9	336.0
0	1	9	300.0
0	2	9	258.0
0	3	9	270.0
0	4	9	243.0
0	5	9	276.0
0	6	9	239.0
0	7	9	264.0
0	8	9	247.0
0	9	9	266.0
1	0	9	385.0
1	1	9	356.0
1	2	9	401.0
1	3	9	203.0
1	4	9	248.0
1	5	9	221.0
1	6	9	291.0
1	7	9	296.0
1	8	9	469.0
1	9	9	283.0
2	0	9	606.0
2	1	9	361.0
2	2	9	306.0
2	3	9	289.0
2	4	9	242.0
2	5	9	339.0
2	6	9	370.0
2	7	9	441.0
2	8	9	454.0
2	9	9	486.0
3	0	9	536.0
3	1	9	571.0
3	2	9	387.0
3	3	9	176.0
3	4	9	188.0
3	5	9	205.0
3	6	9	300.0
3	7	9	353.0
3	8	9	502.0
3	9	9	723.0
4	0	9	416.0
4	1	9	489.0
4	2	9	464.0
4	3	9	494.0
4	4	9	542.0
4	5	9	566.0
4	6	9	561.0
4	7	9	631.0
4	8	9	629.0
4	9	9	672.0
5	0	9	268.0
5	1	9	243.0
5	2	9	336.0
5	3	9	518.0
5	4	9	564.0
5	5	9	587.0
5	6	9	580.0
5	7	9	547.0
5	8	9	452.0
5	9	9	451.0
6	0	9	40.0
6	1	9	230.0
6	2	9	293.0
6	3	9	337.0
6	4	9	371.0
6	5	9	434.0
6	6	9	375.0
6	7	9	349.0
6	8	9	308.0
6	9	9	294.0
7	1	9	45.0
7	2	9	62.0
7	3	9	352.0
7	4	9	384.0
7	5	9	398.0
7	6	9	390.0
7	7	9	370.0
7	8	9	92.0
7	9	9	72.0
8	3	9	32.0
8	4	9	63.0
8	5	9	151.0
8	6	9	798.0
8	7	9	1601.0
8	8	9	1950.0
8	9	9	2182.0
9	0	9	506.0
9	1	9	1835.0
9	2	9	9441.0
9	3	9	26067.0
9	4	9	15179.0
9	5	9	12977.0
9	6	9	14709.0
9	7	9	18162.0
9	8	9	20496.0
9	9	9	19647.0
0	0	10	346.0
0	1	10	289.0
0	2	10	293.0
0	3	10	261.0
0	4	10	300.0
0	5	10	298.0
0	6	10	324.0
0	7	10	295.0
0	8	10	341.0
0	9	10	290.0
1	0	10	303.0
1	1	10	324.0
1	2	10	275.0
1	3	10	323.0
1	4	10	301.0
1	5	10	351.0
1	6	10	314.0
1	7	10	315.0
1	8	10	309.0
1	9	10	322.0
2	0	10	240.0
2	1	10	239.0
2	2	10	315.0
2	3	10	345.0
2	4	10	400.0
2	5	10	323.0
2	6	10	311.0
2	7	10	240.0
2	8	10	278.0
2	9	10	285.0
3	0	10	155.0
3	1	10	182.0
3	2	10	266.0
3	3	10	359.0
3	4	10	405.0
3	5	10	393.0
3	6	10	307.0
